Time (s),Raw Acceleration,Acceleration x (m/s^2)
7.5,2543,-0.029138614
7.51,2550,-0.097128713
7.52,2547,-0.067990099
7.53,2554,-0.135980198
7.54,2540,0
7.55,2551,-0.106841584
7.56,2546,-0.058277228
7.57,2548,-0.07770297
7.58,2544,-0.038851485
7.59,2547,-0.067990099
7.6,2549,-0.087415842
7.61,2548,-0.07770297
7.62,2546,-0.058277228
7.63,2548,-0.07770297
7.64,2542,-0.019425743
7.65,2551,-0.106841584
7.66,2549,-0.087415842
7.67,2543,-0.029138614
7.68,2545,-0.048564356
7.69,2547,-0.067990099
7.7,2548,-0.07770297
7.71,2547,-0.067990099
7.72,2551,-0.106841584
7.73,2547,-0.067990099
7.74,2546,-0.058277228
7.75,2540,0
7.76,2547,-0.067990099
7.77,2536,0.038851485
7.78,2547,-0.067990099
7.79,2544,-0.038851485
7.8,2548,-0.07770297
7.81,2539,0.009712871
7.82,2548,-0.07770297
7.83,2549,-0.087415842
7.84,2549,-0.087415842
7.85,2543,-0.029138614
7.86,2548,-0.07770297
7.87,2544,-0.038851485
7.88,2544,-0.038851485
7.89,2547,-0.067990099
7.9,2536,0.038851485
7.91,2523,0.165118812
7.92,2513,0.262247525
7.93,2520,0.194257426
7.94,2534,0.058277228
7.95,2551,-0.106841584
7.96,2551,-0.106841584
7.97,2554,-0.135980198
7.98,2541,-0.009712871
7.99,2553,-0.126267327
8,2555,-0.145693069
8.01,2575,-0.339950495
8.02,2562,-0.213683168
8.03,2576,-0.349663366
8.04,2567,-0.262247525
8.05,2572,-0.310811881
8.06,2568,-0.271960396
8.07,2587,-0.45650495
8.08,2578,-0.369089109
8.09,2581,-0.398227723
8.1,2568,-0.271960396
8.11,2561,-0.203970297
8.12,2551,-0.106841584
8.13,2561,-0.203970297
8.14,2561,-0.203970297
8.15,2561,-0.203970297
8.16,2550,-0.097128713
8.17,2544,-0.038851485
8.18,2540,0
8.19,2539,0.009712871
8.2,2538,0.019425743
8.21,2531,0.087415842
8.22,2522,0.174831683
8.23,2510,0.291386139
8.24,2504,0.349663366
8.25,2504,0.349663366
8.26,2509,0.30109901
8.27,2492,0.466217822
8.28,2501,0.37880198
8.29,2487,0.514782178
8.3,2494,0.446792079
8.31,2483,0.553633663
8.32,2493,0.45650495
8.33,2508,0.310811881
8.34,2531,0.087415842
8.35,2529,0.106841584
8.36,2529,0.106841584
8.37,2517,0.22339604
8.38,2525,0.145693069
8.39,2531,0.087415842
8.4,2551,-0.106841584
8.41,2551,-0.106841584
8.42,2555,-0.145693069
8.43,2563,-0.22339604
8.44,2575,-0.339950495
8.45,2587,-0.45650495
8.46,2591,-0.495356436
8.47,2603,-0.611910891
8.48,2603,-0.611910891
8.49,2610,-0.67990099
8.5,2632,-0.893584158
8.51,2643,-1.000425743
8.52,2601,-0.592485149
8.53,2611,-0.689613861
8.54,2592,-0.505069307
8.55,2601,-0.592485149
8.56,2595,-0.534207921
8.57,2612,-0.699326733
8.58,2590,-0.485643564
8.59,2599,-0.573059406
8.6,2577,-0.359376238
8.61,2582,-0.407940594
8.62,2569,-0.281673267
8.63,2571,-0.30109901
8.64,2555,-0.145693069
8.65,2552,-0.116554455
8.66,2537,0.029138614
8.67,2530,0.097128713
8.68,2515,0.242821782
8.69,2490,0.485643564
8.7,2484,0.543920792
8.71,2493,0.45650495
8.72,2477,0.611910891
8.73,2462,0.75760396
8.74,2463,0.747891089
8.75,2454,0.835306931
8.76,2449,0.883871287
8.77,2436,1.010138614
8.78,2432,1.048990099
8.79,2426,1.107267327
8.8,2459,0.786742574
8.81,2475,0.631336634
8.82,2492,0.466217822
8.83,2493,0.45650495
8.84,2493,0.45650495
8.85,2493,0.45650495
8.86,2497,0.417653465
8.87,2510,0.291386139
8.88,2536,0.038851485
8.89,2547,-0.067990099
8.9,2568,-0.271960396
8.91,2571,-0.30109901
8.92,2595,-0.534207921
8.93,2606,-0.641049505
8.94,2614,-0.718752475
8.95,2620,-0.777029703
8.96,2631,-0.883871287
8.97,2645,-1.019851485
8.98,2650,-1.068415842
8.99,2664,-1.20439604
9,2683,-1.388940594
9.01,2678,-1.340376238
9.02,2629,-0.864445545
9.03,2614,-0.718752475
9.04,2604,-0.621623762
9.05,2632,-0.893584158
9.06,2611,-0.689613861
9.07,2623,-0.806168317
9.08,2598,-0.563346535
9.09,2605,-0.631336634
9.1,2581,-0.398227723
9.11,2585,-0.437079208
9.12,2556,-0.155405941
9.13,2557,-0.165118812
9.14,2532,0.07770297
9.15,2535,0.048564356
9.16,2515,0.242821782
9.17,2504,0.349663366
9.18,2479,0.592485149
9.19,2471,0.670188119
9.2,2473,0.650762376
9.21,2458,0.796455446
9.22,2444,0.932435644
9.23,2447,0.90329703
9.24,2440,0.971287129
