Time (s),Raw Acceleration,Acceleration x (m/s^2)
3.07,2579,0.009712871
3.08,2588,-0.07770297
3.09,2575,0.048564356
3.1,2581,-0.009712871
3.11,2571,0.087415842
3.12,2589,-0.087415842
3.13,2583,-0.029138614
3.14,2598,-0.174831683
3.15,2596,-0.155405941
3.16,2613,-0.320524752
3.17,2585,-0.048564356
3.18,2569,0.106841584
3.19,2544,0.349663366
3.2,2538,0.407940594
3.21,2549,0.30109901
3.22,2537,0.417653465
3.23,2555,0.242821782
3.24,2579,0.009712871
3.25,2607,-0.262247525
3.26,2626,-0.446792079
3.27,2649,-0.670188119
3.28,2636,-0.543920792
3.29,2641,-0.592485149
3.3,2629,-0.475930693
3.31,2594,-0.135980198
3.32,2568,0.116554455
3.33,2546,0.330237624
3.34,2501,0.767316832
3.35,2500,0.777029703
3.36,2503,0.747891089
3.37,2505,0.728465347
3.38,2522,0.563346535
3.39,2576,0.038851485
3.4,2610,-0.291386139
3.41,2661,-0.786742574
3.42,2696,-1.126693069
3.43,2694,-1.107267327
3.44,2653,-0.709039604
3.45,2631,-0.495356436
3.46,2589,-0.087415842
3.47,2564,0.155405941
3.48,2543,0.359376238
3.49,2518,0.60219802
3.5,2492,0.854732673
3.51,2499,0.786742574
3.52,2499,0.786742574
3.53,2517,0.611910891
3.54,2544,0.349663366
3.55,2605,-0.242821782
3.56,2630,-0.485643564
3.57,2683,-1.000425743
3.58,2705,-1.214108911
3.59,2667,-0.845019802
3.6,2640,-0.582772277
3.61,2616,-0.349663366
3.62,2591,-0.106841584
3.63,2566,0.135980198
3.64,2545,0.339950495
3.65,2502,0.75760396
3.66,2479,0.981
3.67,2496,0.815881188
3.68,2507,0.709039604
3.69,2518,0.60219802
3.7,2580,0
3.71,2604,-0.233108911
3.72,2639,-0.573059406
3.73,2676,-0.932435644
3.74,2709,-1.252960396
3.75,2665,-0.825594059
3.76,2644,-0.621623762
3.77,2596,-0.155405941
3.78,2564,0.155405941
3.79,2548,0.310811881
3.8,2542,0.369089109
3.81,2507,0.709039604
3.82,2481,0.961574257
3.83,2491,0.864445545
3.84,2505,0.728465347
3.85,2542,0.369089109
3.86,2602,-0.213683168
3.87,2628,-0.466217822
3.88,2648,-0.660475248
3.89,2683,-1.000425743
3.9,2680,-0.971287129
3.91,2660,-0.777029703
3.92,2635,-0.534207921
3.93,2587,-0.067990099
3.94,2550,0.291386139
3.95,2546,0.330237624
3.96,2517,0.611910891
3.97,2507,0.709039604
3.98,2485,0.922722772
3.99,2500,0.777029703
4,2511,0.670188119
4.01,2558,0.213683168
4.02,2607,-0.262247525
4.03,2648,-0.660475248
4.04,2668,-0.854732673
4.05,2700,-1.165544554
4.06,2661,-0.786742574
4.07,2654,-0.718752475
4.08,2605,-0.242821782
4.09,2580,0
4.1,2550,0.291386139
4.11,2541,0.37880198
4.12,2508,0.699326733
4.13,2498,0.796455446
4.14,2487,0.90329703
4.15,2507,0.709039604
4.16,2521,0.573059406
4.17,2584,-0.038851485
4.18,2622,-0.407940594
4.19,2652,-0.699326733
4.2,2678,-0.951861386
4.21,2687,-1.039277228
4.22,2653,-0.709039604
4.23,2637,-0.553633663
4.24,2597,-0.165118812
4.25,2566,0.135980198
4.26,2546,0.330237624
4.27,2530,0.485643564
4.28,2505,0.728465347
4.29,2486,0.913009901
4.3,2496,0.815881188
4.31,2505,0.728465347
4.32,2543,0.359376238
4.33,2596,-0.155405941
4.34,2633,-0.514782178
4.35,2656,-0.738178218
4.36,2696,-1.126693069
4.37,2674,-0.913009901
4.38,2660,-0.777029703
4.39,2620,-0.388514851
4.4,2589,-0.087415842
4.41,2555,0.242821782
4.42,2547,0.320524752
4.43,2515,0.631336634
4.44,2504,0.738178218
4.45,2489,0.883871287
4.46,2503,0.747891089
4.47,2510,0.67990099
4.48,2571,0.087415842
4.49,2612,-0.310811881
4.5,2644,-0.621623762
4.51,2677,-0.942148515
4.52,2691,-1.078128713
4.53,2665,-0.825594059
4.54,2649,-0.670188119
4.55,2609,-0.281673267
4.56,2575,0.048564356
4.57,2552,0.271960396
4.58,2531,0.475930693
4.59,2515,0.631336634
4.6,2484,0.932435644
4.61,2497,0.806168317
4.62,2497,0.806168317
4.63,2525,0.534207921
4.64,2580,0
4.65,2636,-0.543920792
4.66,2654,-0.718752475
4.67,2689,-1.05870297
4.68,2675,-0.922722772
4.69,2667,-0.845019802
4.7,2625,-0.437079208
4.71,2597,-0.165118812
4.72,2553,0.262247525
4.73,2556,0.233108911
4.74,2523,0.553633663
4.75,2509,0.689613861
4.76,2483,0.942148515
4.77,2506,0.718752475
4.78,2494,0.835306931
4.79,2553,0.262247525
4.8,2603,-0.22339604
4.81,2641,-0.592485149
4.82,2666,-0.835306931
4.83,2707,-1.233534653
4.84,2665,-0.825594059
4.85,2657,-0.747891089
4.86,2622,-0.407940594
4.87,2582,-0.019425743
4.88,2556,0.233108911
4.89,2545,0.339950495
4.9,2516,0.621623762
4.91,2500,0.777029703
4.92,2489,0.883871287
4.93,2502,0.75760396
4.94,2509,0.689613861
4.95,2572,0.07770297
4.96,2621,-0.398227723
4.97,2641,-0.592485149
4.98,2678,-0.951861386
4.99,2684,-1.010138614
5,2669,-0.864445545
5.01,2636,-0.543920792
5.02,2608,-0.271960396
5.03,2563,0.165118812
5.04,2554,0.252534653
5.05,2533,0.45650495
5.06,2509,0.689613861
5.07,2483,0.942148515
5.08,2503,0.747891089
5.09,2498,0.796455446
5.1,2535,0.437079208
5.11,2594,-0.135980198
5.12,2635,-0.534207921
5.13,2654,-0.718752475
5.14,2693,-1.097554455
5.15,2674,-0.913009901
5.16,2657,-0.747891089
5.17,2626,-0.446792079
5.18,2589,-0.087415842
5.19,2557,0.22339604
5.2,2546,0.330237624
5.21,2525,0.534207921
5.22,2493,0.845019802
5.23,2493,0.845019802
5.24,2498,0.796455446
5.25,2516,0.621623762
5.26,2549,0.30109901
5.27,2615,-0.339950495
5.28,2635,-0.534207921
5.29,2678,-0.951861386
5.3,2693,-1.097554455
5.31,2669,-0.864445545
5.32,2648,-0.660475248
5.33,2614,-0.330237624
5.34,2576,0.038851485
5.35,2557,0.22339604
5.36,2529,0.495356436
5.37,2522,0.563346535
5.38,2482,0.951861386
5.39,2497,0.806168317
5.4,2491,0.864445545
5.41,2525,0.534207921
5.42,2576,0.038851485
