Time (s),Raw Acceleration ,Acceleration x (m/s^2)
2.36,2575,0.048564356
2.37,2584,-0.038851485
2.38,2576,0.038851485
2.39,2576,0.038851485
2.4,2557,0.22339604
2.41,2569,0.106841584
2.42,2585,-0.048564356
2.43,2622,-0.407940594
2.44,2621,-0.398227723
2.45,2633,-0.514782178
2.46,2620,-0.388514851
2.47,2609,-0.281673267
2.48,2558,0.213683168
2.49,2532,0.466217822
2.5,2497,0.806168317
2.51,2504,0.738178218
2.52,2505,0.728465347
2.53,2516,0.621623762
2.54,2550,0.291386139
2.55,2591,-0.106841584
2.56,2647,-0.650762376
2.57,2702,-1.184970297
2.58,2728,-1.43750495
2.59,2698,-1.146118812
2.6,2662,-0.796455446
2.61,2607,-0.262247525
2.62,2586,-0.058277228
2.63,2553,0.262247525
2.64,2512,0.660475248
2.65,2434,1.418079208
2.66,2418,1.573485149
2.67,2414,1.612336634
2.68,2457,1.194683168
2.69,2529,0.495356436
2.7,2624,-0.427366337
2.71,2658,-0.75760396
2.72,2710,-1.262673267
2.73,2768,-1.826019802
2.74,2796,-2.097980198
2.75,2727,-1.427792079
2.76,2647,-0.650762376
2.77,2583,-0.029138614
2.78,2556,0.233108911
2.79,2509,0.689613861
2.8,2447,1.291811881
2.81,2406,1.690039604
2.82,2402,1.728891089
2.83,2428,1.476356436
2.84,2488,0.893584158
2.85,2582,-0.019425743
2.86,2632,-0.505069307
2.87,2686,-1.029564356
2.88,2735,-1.50549505
2.89,2790,-2.03970297
2.9,2758,-1.728891089
2.91,2695,-1.116980198
2.92,2612,-0.310811881
2.93,2577,0.029138614
2.94,2541,0.37880198
2.95,2485,0.922722772
2.96,2431,1.447217822
2.97,2408,1.670613861
2.98,2402,1.728891089
2.99,2440,1.35980198
3,2515,0.631336634
3.01,2616,-0.349663366
3.02,2649,-0.670188119
3.03,2709,-1.252960396
3.04,2758,-1.728891089
3.05,2786,-2.000851485
3.06,2739,-1.544346535
3.07,2656,-0.738178218
3.08,2593,-0.126267327
3.09,2561,0.184544554
3.1,2524,0.543920792
3.11,2460,1.165544554
3.12,2415,1.602623762
3.13,2403,1.719178218
3.14,2417,1.58319802
3.15,2466,1.107267327
3.16,2553,0.262247525
3.17,2624,-0.427366337
3.18,2672,-0.893584158
3.19,2727,-1.427792079
3.2,2782,-1.962
3.21,2766,-1.806594059
3.22,2713,-1.291811881
3.23,2629,-0.475930693
3.24,2584,-0.038851485
