Time (s),Raw Acceleration,Acceleration x (m/s^2)
20,2583,-0.029138614
20.01,2586,-0.058277228
20.02,2577,0.029138614
20.03,2589,-0.087415842
20.04,2581,-0.009712871
20.05,2592,-0.116554455
20.06,2573,0.067990099
20.07,2586,-0.058277228
20.08,2.58E+03,0.029138614
20.09,2587,-0.067990099
20.1,2578,0.019425743
20.11,2589,-0.087415842
20.12,2576,0.038851485
20.13,2588,-0.07770297
20.14,2577,0.029138614
20.15,2584,-0.038851485
20.16,2579,0.009712871
20.17,2582,-0.019425743
20.18,2579,0.009712871
20.19,2578,0.019425743
20.2,2578,0.019425743
20.21,2579,0.009712871
20.22,2582,-0.019425743
20.23,2581,-0.009712871
20.24,2584,-0.038851485
20.25,2582,-0.019425743
20.26,2589,-0.087415842
20.27,2576,0.038851485
20.28,2586,-0.058277228
20.29,2575,0.048564356
20.3,2585,-0.048564356
20.31,2572,0.07770297
20.32,2584,-0.038851485
20.33,2574,0.058277228
20.34,2585,-0.048564356
20.35,2576,0.038851485
20.36,2587,-0.067990099
20.37,2576,0.038851485
20.38,2590,-0.097128713
20.39,2576,0.038851485
20.4,2581,-0.009712871
20.41,2577,0.029138614
20.42,2587,-0.067990099
20.43,2580,0
20.44,2583,-0.029138614
20.45,2577,0.029138614
20.46,2581,-0.009712871
20.47,2586,-0.058277228
20.48,2578,0.019425743
20.49,2579,0.009712871
20.5,2579,0.009712871
20.51,2586,-0.058277228
20.52,2579,0.009712871
20.53,2587,-0.067990099
20.54,2581,-0.009712871
20.55,2587,-0.067990099
20.56,2579,0.009712871
20.57,2586,-0.058277228
20.58,2573,0.067990099
20.59,2590,-0.097128713
20.6,2574,0.058277228
20.61,2586,-0.058277228
20.62,2577,0.029138614
20.63,2587,-0.067990099
20.64,2577,0.029138614
20.65,2591,-0.106841584
20.66,2577,0.029138614
20.67,2589,-0.087415842
20.68,2578,0.019425743
20.69,2586,-0.058277228
20.7,2580,0
20.71,2582,-0.019425743
20.72,2582,-0.019425743
20.73,2585,-0.048564356
20.74,2581,-0.009712871
20.75,2583,-0.029138614
20.76,2580,0
20.77,2585,-0.048564356
20.78,2580,0
20.79,2577,0.029138614
20.8,2584,-0.038851485
20.81,2580,0
20.82,2586,-0.058277228
